Project Name,Cluster Name,Project Type,City,County,State,Digester Type,Status,Year Operational,Animal/Farm Type(s), Cattle , Dairy , Poultry , Swine ,Co-Digestion, Biogas Generation Estimate (cu-ft/day) , Electricity Generated (kWh/yr) ,Biogas End Use(s),LCFS Pathway,System Designer(s)/Developer(s) and Affiliates,Receiving Utility, Total Emission Reductions (MTCO2e/yr) ,Awarded USDA Funding?
4K Dairy Digester,Maas Calgren,Farm Scale,Pixley,Tulare,CA,Covered Lagoon,Operational,2020,Dairy,," 5,000 ",,,,,,CNG,,Calgren Dairy Fuels LLC [Project Developer]; Maas Energy Works [Project Developer],SoCalGas," 47,270 ",
ABEC Bidart-Old River LLC Digester,,Farm Scale,Bakersfield,Kern,CA,Covered Lagoon,Operational,2013,Dairy,," 15,500 ",,,," 600,000 "," 16,206,000 ",Electricity,Yes,"4Creeks [System Designer, System Design Engineer]; California Bioenergy LLC [Project Developer, System Designer, Construction & Installation]; Environmental Fabrics, Inc. [Biogas Membrane Supplier]",PG&E," 125,341 ",
ABEC Bidart-Stockdale LLC Digester,,Farm Scale,Bakersfield,Kern,CA,Covered Lagoon,Operational,2013,Dairy,," 1,700 ",,,," 50,000 "," 4,204,800 ",Electricity,,"California Bioenergy LLC [Project Developer, System Designer, Construction & Installation]; Environmental Fabrics, Inc. [Biogas Membrane Supplier]; Provost & Pritchard [System Designer, System Design Engineer]",PG&E," 17,105 ",
ABEC Carlos Echeverria & Sons Digester,,Farm Scale,Bakersfield,Kern,CA,Covered Lagoon,Operational,2018,Dairy,," 9,700 ",,,," 270,000 "," 7,600,000 ",Cogeneration; Refrigeration,Yes,California Bioenergy LLC [Project Developer]; Martin Construction Resource LLC (formerly RCM) [Project Developer],," 97,125 ",
ABEC Lakeview Farms Dairy Digester,,Multiple Farm/Facility,Bakersfield,Kern,CA,Covered Lagoon,Operational,2018,Dairy,," 7,000 ",,,," 360,000 "," 6,700,000 ",Electricity; CNG,Yes,California Bioenergy LLC [Project Developer],Pacific Gas and Electric Company," 70,957 ",
ABEC West Star North Dairies Digester,,Farm Scale,Buttonwillow,Kern,CA,Covered Lagoon,Operational,2018,Dairy,," 7,000 ",,,,," 7,600,000 ",Electricity,Yes,California Bioenergy LLC [Project Developer],," 71,599 ",
Ackerman Dairy Digester,Aemetis Central,Farm Scale,Ceres,Stanislaus,CA,Covered Lagoon,Operational,2020,Dairy,," 4,300 ",,,,,,Boiler/Furnace fuel; CNG,,Aemetis Advanced Fuels Inc. [Project Developer]; Maas Energy Works [Project Developer],Pacific Gas and Electric Company," 40,653 ",
Ahlem Farms Dairy (Denair) Digester,Maas Merced,Farm Scale,Denair,Stanislaus,CA,Covered Lagoon,Construction,2026,Dairy,," 5,000 ",,,,,,CNG,,Maas Energy Works [Project Developer],Pacific Gas and Electric," 47,270 ",
Ahlem Farms Dairy (Hilmar) Digester,CalBio Hilmar,Farm Scale,Hilmar,Merced,CA,Covered Lagoon,Construction,2026,Dairy,," 6,500 ",,,," 325,000 ",,CNG,,California Bioenergy LLC [Project Developer],Pacific Gas and Electric," 61,452 ",
Ahlem Farms Jerseys Digester,Aemetis Central,Farm Scale,Crows Landing,Stanislaus,CA,Covered Lagoon,Operational,2022,Dairy,," 4,750 ",,,," 237,500 ",,CNG,,Aemetis Advanced Fuels Inc. [Project Developer],Pacific Gas and Electric," 30,167 ",
Albert Goyenetche Dairy Digester,CalBio Buttonwillow,Farm Scale,Buttonwillow,Kern,CA,Covered Lagoon,Operational,2022,Dairy,," 6,500 ",,,,,,CNG,,California Bioenergy LLC [Project Developer],," 61,452 ",
Albert Mendes Dairy Digester,Aemetis Central,Farm Scale,Crows Landing,Stanislaus,CA,Covered Lagoon,Operational,2023,Dairy,," 2,000 ",,,," 100,000 ",,CNG,,Aemetis Advanced Fuels Inc. [Project Developer],Pacific Gas and Electric," 18,908 ",
Antonio Brasil Dairy Digester: RNG,,Farm Scale,Dos Palos,Merced,CA,Complete Mix,Construction,2023,Dairy,," 5,420 ",,,,,,Pipeline Gas,,,," 41,278 ",
Art Leyendekker Dairy Digester,CalBio North Visalia,Farm Scale,Visalia,Tulare,CA,Covered Lagoon,Operational,2022,Dairy,," 2,000 ",,,," 100,000 ",,CNG,,California Bioenergy LLC [Project Developer],," 18,908 ",
Aukeman Farms Dairy Digester,CalBio South Tulare,Farm Scale,Tulare,Tulare,CA,Covered Lagoon,Operational,2021,Dairy,," 7,700 ",,,," 385,000 ",,CNG,,4Creeks [System Design Engineer]; California Bioenergy LLC [Project Developer],," 72,796 ",
Avalon Dairy Digester,Maas Calgren,Farm Scale,Wasco,Kern,CA,Covered Lagoon,Operational,2023,Dairy,," 4,000 ",,,," 200,000 ",,CNG,,Maas Energy Works [Project Developer],SoCalGas," 37,816 ",
Bar 20 Dairy Digester,,Farm Scale,Kerman,Fresno,CA,Covered Lagoon,Operational,2021,Dairy,," 19,100 ",,,," 955,000 ",,Electricity,,California Bioenergy LLC [Project Developer],," 66,687 ",
Bar Mac Dairy Digester,CalBio Gustine,Farm Scale,Gustine,Merced,CA,Covered Lagoon,Construction,2024,Dairy,," 2,100 ",,,,,,Pipeline Gas,,California Bioenergy LLC [Project Developer],," 22,033 ",
Belonave Dairy Digester,CalBio Kern,Farm Scale,Bakersfield,Kern,CA,Covered Lagoon,Operational,2021,Dairy,," 5,700 ",,,,,,CNG,,4Creeks [System Design Engineer]; California Bioenergy LLC [Project Developer],," 53,888 ",
Bob Giacomini Dairy Digester,,Farm Scale,Point Reyes Station,Marin,CA,Covered Lagoon,Operational,2009,Dairy,, 800 ,,,Process Water," 30,000 ",,Cogeneration,,Maas Energy Works [Project Developer],Pacific Gas and Electric Company," 7,979 ",Y
Bos Farms Dairy Digester,CalBio South Tulare,Farm Scale,Tulare,Tulare,CA,Covered Lagoon,Operational,2021,Dairy,," 6,700 ",,,," 804,000 ",,CNG,,4Creeks [System Design Engineer]; California Bioenergy LLC [Project Developer],," 68,684 ",
BV Dairy Digester,CalBio Kern,Farm Scale,Bakersfield,Kern,CA,Covered Lagoon,Operational,2020,Dairy,," 6,900 ",,,," 345,000 ",,CNG,,4Creeks [System Design Engineer]; California Bioenergy LLC [Project Developer],," 65,233 ",
Castelanelli Bros. Dairy Digester,,Farm Scale,Lodi,San Joaquin,CA,Covered Lagoon,Operational,2004,Dairy,," 3,213 ",,,," 89,148 "," 2,233,800 ",Electricity,,"Environmental Fabrics, Inc. [Biogas Membrane Supplier]; Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",Pacific Gas and Electric Company," 22,745 ",Y
Channel Islands Dairy Digester,,Farm Scale,Corcoran,Kings,CA,Covered Lagoon,Operational,2021,Dairy,," 8,000 ",,,,,,CNG,,Maas Energy Works [Project Developer],," 75,633 ",
Charles Ahlem Ranch Digester,CalBio Hilmar,Farm Scale,Hilmar,Merced,CA,Covered Lagoon,Construction,2026,Dairy,," 4,500 ",,,," 225,000 ",,CNG,,California Bioenergy LLC [Project Developer],Pacific Electricty and Gas," 42,543 ",
Circle A Dairy Digester,Maas Calgren,Farm Scale,Pixley,Tulare,CA,Covered Lagoon,Operational,2018,Dairy,," 4,370 ",,,," 143,000 ",,CNG,,Calgren Dairy Fuels LLC [Project Developer]; Maas Energy Works [Project Developer],SoCalGas," 41,314 ",
Clauss and Sunwest Dairy Digester,CalBio Hilmar,Farm Scale,Hilmar,Merced,CA,Covered Lagoon,Construction,2026,Dairy,," 6,500 ",,,," 325,000 ",,CNG,,California Bioenergy LLC [Project Developer],Pacific Electricty and Gas," 61,452 ",
Cloverdale Dairy Digester,CalBio Hanford,Farm Scale,Hanford,Kings,CA,Covered Lagoon,Operational,2021,Dairy,," 5,900 ",,,,,,CNG,,4Creeks [System Design Engineer]; California Bioenergy LLC [Project Developer],," 61,121 ",
Cornerstone Dairy Digester,Maas Calgren,Farm Scale,Tipton,Tulare,CA,Covered Lagoon,Operational,2019,Dairy,," 7,425 ",,,,,,CNG,,Calgren Dairy Fuels LLC [Project Developer]; Maas Energy Works [Project Developer],SoCalGas," 70,197 ",
Coronado Dairy Farm Digester,,Farm Scale,Tipton,Tulare,CA,Covered Lagoon,Operational,2017,Dairy,," 4,000 ",,,,,,Electricity,Yes,Maas Energy Works [Project Developer],Southern California Edison," 42,268 ",
Costa View Dairy Digester,RNG Moovers,Farm Scale,Madera,Madera,CA,Covered Lagoon,Operational,2022,Dairy,," 9,900 ",,,,,,CNG,,Aligned Digester Cooperative LLC [Construction & Installation],," 73,942 ",
CottonWood Dairy Digester,,Farm Scale,Atwater,Merced,CA,Covered Lagoon,Operational,2004,Dairy,," 5,000 ",,,Process Water," 432,000 ",,Cogeneration; Boiler/Furnace fuel,Yes,"Environmental Fabrics, Inc. [System Designer, Biogas Membrane Supplier]; Williams Engineering Associates [System Designer, System Design Engineer]",," 47,956 ",Y
Couco Creek Dairy Digester,Maas Merced,Farm Scale,Turlock,Stanislaus,CA,Covered Lagoon,Construction,2026,Dairy,," 5,737 ",,,,,,CNG,,Maas Energy Works [Project Developer],," 39,498 ",
Cow Palace Dairy Digester,RNG Moovers,Farm Scale,Corcoran,Tulare,CA,Covered Lagoon,Operational,2022,Dairy,," 5,700 ",,,,,,CNG,,Aligned Digester Cooperative LLC [Construction & Installation],," 53,888 ",
Curtimade Dairy Digester,CalBio South Tulare,Farm Scale,Tulare,Tulare,CA,Covered Lagoon,Construction,2026,Dairy,," 6,500 ",,,," 325,000 ",,CNG,,California Bioenergy LLC [Project Developer],," 61,452 ",
Dairyland Farms Digester,CalBio South Tulare,Farm Scale,Tipton,Tulare,CA,Covered Lagoon,Operational,2023,Dairy,," 4,000 ",,,," 200,000 ",,CNG,Yes,California Bioenergy LLC [Project Developer],," 37,816 ",
De Boer Dairy Digester,Maas Calgren,Farm Scale,Tulare,Tulare,CA,Covered Lagoon,Operational,2023,Dairy,," 6,500 ",,,," 325,000 ",,CNG,,Maas Energy Works [Project Developer],SoCalGas," 61,452 ",
De Groot South Dairy Digester,CalBio West Visalia,Farm Scale,Hanford,Kings,CA,Covered Lagoon,Operational,2023,Dairy,,,,,,,,Electricity,,4Creeks [System Design Engineer]; California Bioenergy LLC [Project Developer],," 10,683 ",
De Jager Farms South Dairy Digester,Maas Merced-South,Farm Scale,Chowchilla,Madera,CA,Covered Lagoon,Operational,2023,Dairy,," 3,100 ",,,,,,CNG,,Maas Energy Works [Project Developer],," 29,308 ",
Decade Dairy Digester,Maas Hanford-Lakeside,Farm Scale,Tulare,Tulare,CA,Covered Lagoon,Operational,2021,Dairy,," 10,350 ",,,,,,CNG,,Maas Energy Works [Project Developer],SoCalGas," 97,850 ",
Dixie Creek Dairy Digester,Maas Hanford-Lakeside,Farm Scale,Hanford,Kings,CA,Covered Lagoon,Operational,2021,Dairy,," 6,500 ",,,," 325,000 ",,CNG,,Maas Energy Works [Project Developer],,,
DJ South Dairy Digester,Maas Merced-South,Farm Scale,Merced,Merced,CA,Covered Lagoon,Operational,2021,Dairy,,,,,,,,CNG,,Maas Energy Works [Project Developer],Pacific Gas and Electric Company,,
Double D Dairy Digester,Aemetis Central,Farm Scale,Ceres,Stanislaus,CA,Covered Lagoon,Operational,2020,Dairy,," 8,350 ",,,,,,Boiler/Furnace fuel; CNG,,Aemetis Advanced Fuels Inc. [Project Developer]; Maas Energy Works [Project Developer],Pacific Gas and Electric Company," 78,942 ",
Double Diamond Dairy Digester,Maas Merced,Farm Scale,El Nido,Merced,CA,Covered Lagoon,Operational,2022,Dairy,," 9,500 ",,,," 475,000 ",,CNG,,Maas Energy Works [Project Developer],Pacific Gas and Electric," 89,814 ",
Double J Dairy Digester,CalBio North Visalia,Farm Scale,Visalia,Tulare,CA,Covered Lagoon,Operational,2021,Dairy,," 10,700 ",,,," 535,000 ",,CNG,,4Creeks [System Design Engineer]; California Bioenergy LLC [Project Developer],," 101,159 ",
Double L Dairy Digester,Maas Hanford-Lakeside,Farm Scale,Hanford,Kings,CA,Covered Lagoon,Operational,2021,Dairy,,,,,,,,CNG,,Maas Energy Works [Project Developer],SoCalGas,,
Dykstra Dairy Digester,CalBio South Tulare,Farm Scale,Tulare,Tulare,CA,Covered Lagoon,Operational,2021,Dairy,," 8,300 ",,,," 415,000 ",,CNG,,4Creeks [System Design Engineer]; California Bioenergy LLC [Project Developer],," 78,469 ",
El Monte Dairy Digester,CalBio South Tulare,Farm Scale,Tipton,Tulare,CA,Covered Lagoon,Operational,2021,Dairy,," 4,800 ",,,," 240,000 ",,CNG,,4Creeks [System Design Engineer]; California Bioenergy LLC [Project Developer],," 45,380 ",
Elk Creek Dairy Digester,CalBio South Tulare,Farm Scale,Tulare,Tulare,CA,Covered Lagoon,Operational,2022,Dairy,," 2,000 ",,,," 100,000 ",,CNG,,California Bioenergy LLC [Project Developer],," 18,908 ",
Elkhorn Dairy Digester,CalBio North Visalia,Farm Scale,Visalia,Tulare,CA,Covered Lagoon,Construction,2026,Dairy,," 10,000 ",,,," 325,000 ",,CNG,,California Bioenergy LLC [Project Developer],," 94,541 ",
Fern Oaks Dairy Digester,Maas Calgren,Farm Scale,Porterville,Tulare,CA,Covered Lagoon,Operational,2023,Dairy,," 4,000 ",,,," 200,000 ",,CNG,,Maas Energy Works [Project Developer],SoCalGas," 37,816 ",
Fiscalini Farms Digester,,Farm Scale,Modesto,Stanislaus,CA,Complete Mix,Operational,2009,Dairy,," 2,513 ",,,Agricultural Residues; Dairy Processing Wastes," 165,000 "," 3,324,000 ",Cogeneration,Yes,"Biogas Energy, Inc. [Project Developer, System Designer, System Design Engineer]",Modesto Irrigation District," 10,495 ",Y
Five H Dairy Digester,Maas Merced-South,Farm Scale,Merced,Merced,CA,Covered Lagoon,Operational,2021,Dairy,," 2,000 ",,,,,,CNG,,Maas Energy Works [Project Developer],Pacific Gas and Electric Company," 18,908 ",
FM Jerseys Dairy Digester,Maas Calgren,Farm Scale,Tipton,Tulare,CA,Covered Lagoon,Operational,2021,Dairy,," 5,200 ",,,,,,CNG,,Calgren Dairy Fuels LLC [Project Developer]; Maas Energy Works [Project Developer],SoCalGas," 49,161 ",
Friesian Farm Dairy Digester,CalBio South Tulare,Farm Scale,Tulare,Tulare,CA,Covered Lagoon,Operational,2023,Dairy,," 6,500 ",,,," 325,000 ",,CNG,,California Bioenergy LLC [Project Developer],," 61,452 ",
Gerben Leyendekker Dairy Digester,CalBio North Visalia,Farm Scale,Visalia,Tulare,CA,Covered Lagoon,Operational,2022,Dairy,," 6,500 ",,,," 325,000 ",,CNG,,California Bioenergy LLC [Project Developer],," 61,452 ",
Godinho Dairy Digester,,Farm Scale,Los Banos,Merced,CA,Covered Lagoon,Construction,2023,Dairy,," 4,700 ",,,,,,CNG,,Aligned Digester Cooperative LLC [Construction & Installation],," 44,434 ",
Grimmius Cattle Company Digester,,Farm Scale,Hanford,Kings,CA,Covered Lagoon,Operational,2021,Cattle; Dairy," 40,000 "," 39,000 ",,,," 1,365,000 ",,CNG,,4Creeks [System Design Engineer]; California Bioenergy LLC [Project Developer],SoCalGas," 478,606 ",
Hamstra Dairy Digester,CalBio Kern,Farm Scale,Tulare,Tulare,CA,Covered Lagoon,Operational,2020,Dairy,," 8,300 ",,,," 415,000 ",,CNG,,4Creeks [System Design Engineer]; California Bioenergy LLC [Project Developer],," 83,810 ",
Hettinga Dairy Digester,Maas Calgren,Farm Scale,Pixley,Tulare,CA,Covered Lagoon,Operational,2021,Dairy,," 16,000 ",,,," 800,000 ",,CNG,,Calgren Dairy Fuels LLC [Project Developer]; Maas Energy Works [Project Developer],SoCalGas," 151,265 ",
High Roller Dairy Digester,Maas Hanford-Lakeside,Farm Scale,Hanford,Kings,CA,Covered Lagoon,Operational,2023,Dairy,," 5,333 ",,,," 266,650 ",,CNG,,Maas Energy Works [Project Developer],SoCalGas," 50,419 ",
Hilarides Dairy Digester,,Farm Scale,Lindsay,Tulare,CA,Covered Lagoon,Operational,2004,Dairy,," 1,500 ",,,,," 5,072,040 ",Electricity; CNG,,"Environmental Fabrics, Inc. [System Designer, Biogas Membrane Supplier]; Newkirk Electric Associates, Inc. [Construction & Installation]; Organic Waste Systems (OWS), Inc. [Project Developer, Construction & Installation]; Phase 3 Developments & Investments, LLC [Project Developer, System Designer]; Sharp Energy [System Designer, System Design Engineer]",," 11,902 ",
Hollandia Farms Digester,CalBio Hanford,Farm Scale,Hanford,Kings,CA,Covered Lagoon,Operational,2021,Dairy,," 2,900 ",,,,,,CNG,,,," 32,758 ",
Homen Dairy Digester,Maas Merced,Farm Scale,Merced,Merced,CA,Covered Lagoon,Operational,2023,Dairy,," 4,000 ",,,," 200,000 ",,CNG,,Maas Energy Works [Project Developer],Pacific Gas and Electric," 37,816 ",
Hoogendam Dairy Digester,Maas Merced-South,Farm Scale,Merced,Merced,CA,Covered Lagoon,Operational,2022,Dairy,,,,,,,,CNG,,Maas Energy Works [Project Developer],Pacific Gas and Electric Company,,
Horizon Jersey Dairy Digester,CalBio South Tulare,Farm Scale,Tipton,Tulare,CA,Covered Lagoon,Operational,2021,Dairy,," 10,000 ",,,," 500,000 ",,CNG,,4Creeks [System Design Engineer]; California Bioenergy LLC [Project Developer],," 94,541 ",
Jacobus De Groot #2 Dairy Digester,CalBio North Visalia,Farm Scale,Visalia,Tulare,CA,Covered Lagoon,Operational,2021,Dairy,," 1,400 ",,,," 70,000 ",,CNG,,4Creeks [System Design Engineer]; California Bioenergy LLC [Project Developer],," 13,236 ",
James Ahlem Dairy Digester,CalBio Hilmar,Farm Scale,Hilmar,Merced,CA,Covered Lagoon,Construction,2026,Dairy,," 4,000 ",,,," 200,000 ",,CNG,,California Bioenergy LLC [Project Developer],Pacific Electricty and Gas," 37,816 ",
JDS Ranch Digester,Maas Calgren,Farm Scale,Wasco,Kern,CA,Covered Lagoon,Construction,2026,Dairy,," 12,500 ",,,," 625,000 ",,CNG,,Maas Energy Works [Project Developer],SoCalGas," 118,176 ",
Jose Soares Dairy Digester,RNG Moovers,Farm Scale,Dos Palos,Merced,CA,Covered Lagoon,Operational,2022,Dairy,,,,,,,,Pipeline Gas,,"Aligned Digester Cooperative LLC [Construction & Installation]; Aria Energy, LLC [Project Developer]",Pacific Gas & Electric,,
JR Dairy Digester,Maas Calgren,Farm Scale,Tipton,Tulare,CA,Covered Lagoon,Operational,2022,Dairy,," 6,500 ",,,," 325,000 ",,CNG,,Maas Energy Works [Project Developer],SoCalGas," 61,452 ",
K & M Visser Dairy Digester,Maas Calgren,Farm Scale,Pixley,Tulare,CA,Covered Lagoon,Operational,2019,Dairy,," 9,185 ",,,," 459,250 ",,CNG,,Calgren Dairy Fuels LLC [Project Developer]; Maas Energy Works [Project Developer],SoCalGas," 86,836 ",
Lakeside Dairy Digester,Maas Hanford-Lakeside,Farm Scale,Hanford,Kings,CA,Covered Lagoon,Operational,2022,Dairy,," 3,000 ",,,," 150,000 ",,CNG,,Maas Energy Works [Project Developer],SoCalGas," 28,362 ",
Legacy Dairy Digester,Maas Calgren,Farm Scale,Pixley,Tulare,CA,Covered Lagoon,Operational,2019,Dairy,," 2,558 ",,,,,,CNG,,Calgren Dairy Fuels LLC [Project Developer]; Maas Energy Works [Project Developer],SoCalGas," 24,184 ",
Legendairy Farms Digester,Calgren Dairy Fuels,Farm Scale,Tipton,Tulare,CA,Covered Lagoon,Construction,2025,Dairy,," 1,700 ",,,,,,CNG,,Maas Energy Works [Project Developer],," 16,072 ",
Lerda-Goni Farms Digester,CalBio South Tulare,Farm Scale,Tulare,Tulare,CA,Covered Lagoon,Construction,2024,Cattle; Dairy," 1,178 "," 1,500 ",,,,,,CNG,,California Bioenergy LLC [Project Developer],," 17,418 ",
Little Rock Dairy Digester,Maas Calgren,Farm Scale,Tipton,Tulare,CA,Covered Lagoon,Operational,2020,Dairy,," 6,949 ",,,,,,CNG,,Calgren Dairy Fuels LLC [Project Developer]; Maas Energy Works [Project Developer],SoCalGas," 65,696 ",
Lone Oak #1 Dairy Digester,Maas Hanford-Lakeside,Farm Scale,Hanford,Kings,CA,Covered Lagoon,Operational,2021,Dairy,," 13,400 ",,,,,,CNG,,Maas Energy Works [Project Developer],SoCalGas," 126,685 ",
Maple Dairy Digester,CalBio Kern,Farm Scale,Bakersfield,Kern,CA,Covered Lagoon,Operational,2020,Dairy,," 15,800 ",,,," 790,000 ",,CNG,,4Creeks [System Design Engineer]; California Bioenergy LLC [Project Developer],," 154,716 ",
Martins View Jersey Dairy Digester,CalBio Gustine,Farm Scale,Gustine,Merced,CA,Covered Lagoon,Construction,2024,Dairy,," 2,450 ",,,,,,CNG,,California Bioenergy LLC [Project Developer],," 18,741 ",
Mattos Bros Dairy Digester,Maas Hanford-Lakeside,Farm Scale,Hanford,Kings,CA,Covered Lagoon,Construction,2026,Dairy,,,,,,,,CNG,,Maas Energy Works [Project Developer],,,
Maya Dairy Digester,CalBio Buttonwillow,Farm Scale,Buttonwillow,Kern,CA,Covered Lagoon,Operational,2022,Dairy,," 9,500 ",,,," 475,000 ",,CNG,,California Bioenergy LLC [Project Developer],," 89,814 ",
McMoo Farms Dairy Digester,CalBio Kern,Farm Scale,Bakersfield,Kern,CA,Covered Lagoon,Operational,2021,Dairy,," 6,500 ",,,," 325,000 ",,CNG,,California Bioenergy LLC [Project Developer],," 61,452 ",
Meirinho Dairy Digester,Maas Merced-South,Farm Scale,Merced,Merced,CA,Covered Lagoon,Operational,2021,Dairy,,,,,,,,CNG,,Maas Energy Works [Project Developer],Pacific Gas and Electric Company,,
Mellema Dairy Digester,CalBio North Visalia,Farm Scale,Visalia,Tulare,CA,Covered Lagoon,Operational,2021,Dairy,," 5,700 ",,,," 285,000 ",,CNG,,4Creeks [System Design Engineer]; California Bioenergy LLC [Project Developer],," 53,888 ",
Melo Dairy Digester,Maas Merced,Farm Scale,Merced,Merced,CA,Covered Lagoon,Construction,2026,Dairy,," 6,500 ",,,," 325,000 ",,CNG,,Maas Energy Works [Project Developer],Pacific Gas and Electric," 61,452 ",
Mineral King Dairy Digester,CalBio North Visalia,Farm Scale,Visalia,Tulare,CA,Covered Lagoon,Operational,2021,Dairy,," 8,100 ",,,," 405,000 ",,CNG,,4Creeks [System Design Engineer]; California Bioenergy LLC [Project Developer],," 76,578 ",
Moonlight Dairy Digester,CalBio West Visalia,Farm Scale,Visalia,Tulare,CA,Covered Lagoon,Operational,2020,Dairy,," 5,000 ",,,," 250,000 "," 6,000,000 ",Electricity; CNG,,4Creeks [System Design Engineer]; California Bioenergy LLC [Project Developer],," 35,172 ",
New Hope Dairy Digester,,Farm Scale,Galt,Sacramento,CA,Covered Lagoon,Operational,2019,Dairy,," 1,700 ",,,Other Feedstocks," 90,000 "," 1,830,000 ",Electricity,Yes,Maas Energy Works [Project Developer],SMUD (Sacramento Utility District)," 15,412 ",
Newhouse Dairy Digester,CalBio Kern,Farm Scale,Bakersfield,Kern,CA,Covered Lagoon,Operational,2021,Dairy,," 6,500 ",,,," 325,000 ",,CNG,,California Bioenergy LLC [Project Developer],," 61,452 ",
Northstar Dairy Digester,Maas Calgren,Farm Scale,Tipton,Tulare,CA,Covered Lagoon,Operational,2021,Dairy,," 6,500 ",,,," 325,000 ",,CNG,,Calgren Dairy Fuels LLC [Project Developer]; Maas Energy Works [Project Developer],SoCalGas," 61,452 ",
Nyman Brothers Dairy Digester,CalBio Hilmar,Farm Scale,Hilmar,Merced,CA,Covered Lagoon,Construction,2026,Dairy,," 2,000 ",,,," 100,000 ",,CNG,,California Bioenergy LLC [Project Developer],Pacific Electricty and Gas," 18,908 ",
Oliveira Dairy Digester,Aemetis Central,Farm Scale,Stevinson,Merced,CA,Covered Lagoon,Construction,2024,Dairy,," 2,000 ",,,," 100,000 ",,CNG,,Aemetis Advanced Fuels Inc. [Project Developer],Pacific Gas and Electric," 18,908 ",
Open Sky Ranch Dairy Digester,,Farm Scale,Riverdale,Fresno,CA,Covered Lagoon,Operational,2016,Dairy,," 4,000 ",,,,," 6,464,301 ",Electricity,,"Maas Energy Works [System Designer, Construction & Installation]",Pacific Gas and Electric Company," 42,427 ",
P&M Dairy and VP Farms Digester,CalBio South Tulare,Multiple Farm/Facility,Tipton,Tulare,CA,Covered Lagoon,Construction,2024,Dairy,,,,,,,,CNG,,California Bioenergy LLC [Project Developer],,,
